image_path,prompt,score2_0_original,score2_1_original,score2_0_attacked_PGD,score2_1_attacked_PGD,score2_0_attacked_FGSM,score2_1_attacked_FGSM
data/generated_images/sd_v2_1\sd_v2_1_9_0.png,"A hand-drawn cute gnome holding a pumpkin in an autumn disguise, portrayed in a detailed close-up of the face with warm lighting and high detail.",0.2896,0.2915,0.2656,0.264,0.275,0.2944
data/generated_images/sd_v2_1\sd_v2_1_9_1.png,"A hand-drawn cute gnome holding a pumpkin in an autumn disguise, portrayed in a detailed close-up of the face with warm lighting and high detail.",0.269,0.2316,0.2402,0.1754,0.2598,0.2249
data/generated_images/sd_v2_1\sd_v2_1_9_2.png,"A hand-drawn cute gnome holding a pumpkin in an autumn disguise, portrayed in a detailed close-up of the face with warm lighting and high detail.",0.2952,0.3154,0.2734,0.297,0.283,0.3203
data/generated_images/sd_v2_1\sd_v2_1_9_3.png,"A hand-drawn cute gnome holding a pumpkin in an autumn disguise, portrayed in a detailed close-up of the face with warm lighting and high detail.",0.2827,0.258,0.2515,0.2123,0.2646,0.2389
data/generated_images/sd_v2_1\sd_v2_1_9_4.png,"A hand-drawn cute gnome holding a pumpkin in an autumn disguise, portrayed in a detailed close-up of the face with warm lighting and high detail.",0.2727,0.2385,0.2407,0.1885,0.256,0.2228
data/generated_images/sd_v2_1\sd_v2_1_9_5.png,"A hand-drawn cute gnome holding a pumpkin in an autumn disguise, portrayed in a detailed close-up of the face with warm lighting and high detail.",0.2742,0.2505,0.2512,0.2202,0.2625,0.2435
data/generated_images/sd_v2_1\sd_v2_1_9_6.png,"A hand-drawn cute gnome holding a pumpkin in an autumn disguise, portrayed in a detailed close-up of the face with warm lighting and high detail.",0.2915,0.3167,0.261,0.2698,0.2744,0.3066
data/generated_images/sd_v2_1\sd_v2_1_9_7.png,"A hand-drawn cute gnome holding a pumpkin in an autumn disguise, portrayed in a detailed close-up of the face with warm lighting and high detail.",0.282,0.2573,0.257,0.2239,0.2668,0.251
