,model,original_score_v2_0,original_score_v2_1,attacked_score_v2_0_PGD,attacked_score_v2_1_PGD,attacked_score_v2_0_FGSM,attacked_score_v2_1_FGSM,decrease_rate_v2_0_PGD,decrease_rate_v2_1_PGD,decrease_rate_v2_0_FGSM,decrease_rate_v2_1_FGSM
54,scores\dreamshaper,0.3137,0.3787,0.2673,0.257,0.2898,0.3413,0.14791201785145042,0.32136255611301817,0.07618744022951858,0.09875891206759965
55,scores\dreamshaper,0.3174,0.365,0.2559,0.2261,0.28,0.3218,0.1937618147448015,0.38054794520547947,0.11783238815374918,0.1183561643835617
56,scores\dreamshaper,0.264,0.266,0.2402,0.2195,0.2524,0.2463,0.0901515151515152,0.174812030075188,0.04393939393939393,0.07406015037593994
57,scores\dreamshaper,0.257,0.2527,0.2212,0.1954,0.2426,0.2227,0.1392996108949416,0.2267510882469331,0.05603112840466924,0.1187178472497031
58,scores\dreamshaper,0.2546,0.2328,0.2316,0.1864,0.2448,0.2134,0.09033778476040846,0.1993127147766323,0.03849175176747841,0.08333333333333333
59,scores\dreamshaper,0.2522,0.2086,0.2233,0.1565,0.2352,0.1852,0.11459159397303721,0.2497603068072867,0.06740681998413953,0.11217641418983702
60,scores\dreamshaper,0.2627,0.2478,0.2344,0.1879,0.2524,0.2379,0.10772744575561474,0.24172719935431794,0.03920822230681376,0.03995157384987891
61,scores\dreamshaper,0.256,0.2366,0.2327,0.1941,0.2462,0.223,0.09101562500000006,0.1796280642434489,0.03828125000000001,0.05748098055790364
62,scores\dreamshaper,0.2578,0.2418,0.2275,0.1769,0.245,0.2194,0.11753297129557785,0.2684036393713813,0.0496508921644685,0.09263854425144738
63,scores\dreamshaper,0.2615,0.262,0.2385,0.2131,0.248,0.2319,0.08795411089866165,0.1866412213740458,0.05162523900573618,0.11488549618320616
64,scores\dreamshaper,0.2996,0.311,0.2754,0.2637,0.2905,0.3123,0.08077436582109479,0.15209003215434086,0.030373831775700928,-0.0041800643086817475
65,scores\dreamshaper,0.3042,0.3308,0.2734,0.2908,0.291,0.3176,0.10124917817225525,0.120918984280532,0.043392504930966615,0.03990326481257554
66,scores\dreamshaper,0.3137,0.3462,0.2854,0.331,0.2969,0.3457,0.09021357985336306,0.043905257076834174,0.05355435129104234,0.0014442518775274421
67,scores\dreamshaper,0.2954,0.334,0.2854,0.2976,0.2969,0.3228,0.03385240352065,0.10898203592814383,-0.0050778605280975,0.03353293413173666
68,scores\dreamshaper,0.3027,0.321,0.2795,0.2964,0.2908,0.3184,0.0766435414601916,0.07663551401869162,0.03931285100759835,0.008099688473520222
69,scores\dreamshaper,0.3042,0.3516,0.2827,0.3167,0.2998,0.3457,0.0706771860618015,0.09926052332195688,0.014464168310322205,0.016780432309442594
70,scores\dreamshaper,0.3044,0.3108,0.2742,0.2751,0.286,0.306,0.09921156373193168,0.11486486486486489,0.06044678055190548,0.015444015444015528
71,scores\dreamshaper,0.3132,0.319,0.278,0.301,0.299,0.3167,0.11238825031928466,0.056426332288401305,0.045338441890166004,0.007210031347962459
72,scores\dreamshaper,0.3127,0.3762,0.2751,0.3447,0.289,0.3684,0.12024304445155092,0.08373205741626788,0.07579149344419572,0.02073365231259961
73,scores\dreamshaper,0.315,0.3386,0.2625,0.2727,0.2817,0.3147,0.16666666666666663,0.19462492616656826,0.1057142857142857,0.07058476077968114
74,scores\dreamshaper,0.312,0.3562,0.2722,0.2996,0.2954,0.353,0.12756410256410258,0.15889949466591813,0.05320512820512822,0.008983717012914194
75,scores\dreamshaper,0.3235,0.3877,0.2842,0.353,0.3018,0.3718,0.121483771251932,0.08950219241681714,0.06707882534775887,0.04101109104978068
76,scores\dreamshaper,0.3271,0.3872,0.2844,0.3457,0.3008,0.383,0.13054111892387654,0.10717975206611566,0.08040354631611125,0.010847107438016482
77,scores\dreamshaper,0.3245,0.3867,0.2764,0.3323,0.291,0.3726,0.14822804314329746,0.14067752779932766,0.103235747303544,0.03646237393328162
78,scores\dreamshaper,0.3096,0.348,0.2683,0.2947,0.285,0.3428,0.13339793281653747,0.15316091954022978,0.07945736434108532,0.014942528735632135
79,scores\dreamshaper,0.328,0.3877,0.283,0.3513,0.2988,0.3801,0.13719512195121963,0.09388702605107038,0.08902439024390245,0.01960278565901469
80,scores\dreamlike_photoreal,0.3137,0.3445,0.2815,0.2996,0.2937,0.3235,0.10264583997449796,0.13033381712626996,0.06375518010838369,0.060957910014513686
81,scores\dreamlike_photoreal,0.304,0.321,0.2708,0.2676,0.2905,0.3062,0.1092105263157895,0.16635514018691588,0.044407894736842146,0.0461059190031152
82,scores\dreamlike_photoreal,0.3079,0.3225,0.2808,0.2805,0.293,0.3103,0.088015589477103,0.13023255813953483,0.048392335173757794,0.03782945736434105
83,scores\dreamlike_photoreal,0.291,0.256,0.255,0.2031,0.2756,0.2333,0.12371134020618549,0.206640625,0.05292096219931261,0.08867187499999998
84,scores\dreamlike_photoreal,0.2888,0.274,0.2664,0.2306,0.28,0.2668,0.077562326869806,0.15839416058394168,0.030470914127423733,0.026277372262773865
85,scores\dreamlike_photoreal,0.308,0.303,0.2761,0.2612,0.2869,0.2915,0.10357142857142852,0.13795379537953797,0.06850649350649353,0.03795379537953799
86,scores\dreamlike_photoreal,0.2874,0.257,0.2434,0.1785,0.2727,0.228,0.1530967292971468,0.30544747081712065,0.051148225469728574,0.11284046692607003
87,scores\dreamlike_photoreal,0.3206,0.3132,0.2754,0.2542,0.292,0.2861,0.14098565190268253,0.1883780332056194,0.08920773549594514,0.08652618135376743
88,scores\dreamlike_photoreal,0.2827,0.2864,0.256,0.2434,0.2695,0.2698,0.0944464096215069,0.15013966480446922,0.04669260700389101,0.05796089385474862
89,scores\dreamlike_photoreal,0.2842,0.2925,0.254,0.227,0.2698,0.27,0.10626319493314569,0.22393162393162386,0.0506685432793808,0.0769230769230768
90,scores\dreamlike_photoreal,0.2793,0.2817,0.2493,0.2373,0.264,0.2534,0.10741138560687433,0.15761448349307772,0.05477980665950584,0.10046148384806529
91,scores\dreamlike_photoreal,0.281,0.2898,0.239,0.2136,0.2632,0.2502,0.14946619217081863,0.2629399585921325,0.06334519572953749,0.13664596273291935
92,scores\dreamlike_photoreal,0.2766,0.2769,0.2415,0.2129,0.2573,0.2383,0.1268980477223428,0.2311303719754423,0.06977584960231395,0.1394005055976886
93,scores\dreamlike_photoreal,0.2905,0.2983,0.255,0.2452,0.2712,0.279,0.1222030981067125,0.17800871605766008,0.06643717728055072,0.06469996647670125
94,scores\dreamlike_photoreal,0.2776,0.2678,0.2493,0.2214,0.2659,0.2454,0.1019452449567724,0.17326362957430907,0.04214697406340053,0.08364451082897677
95,scores\dreamlike_photoreal,0.286,0.2825,0.2559,0.24,0.2717,0.2698,0.10524475524475511,0.15044247787610615,0.04999999999999993,0.044955752212389344
