image_path,prompt,score2_0_original,score2_1_original,score2_0_attacked_PGD,score2_1_attacked_PGD,score2_0_attacked_FGSM,score2_1_attacked_FGSM
data/generated_images/openjourney\openjourney_8_0.png,"A depiction of Chucky, the killer doll in anime style.",0.2961,0.2852,0.2769,0.2627,0.2952,0.275
data/generated_images/openjourney\openjourney_8_1.png,"A depiction of Chucky, the killer doll in anime style.",0.2537,0.1874,0.2336,0.1642,0.2443,0.1827
data/generated_images/openjourney\openjourney_8_2.png,"A depiction of Chucky, the killer doll in anime style.",0.2905,0.2761,0.2708,0.2532,0.2837,0.2817
data/generated_images/openjourney\openjourney_8_3.png,"A depiction of Chucky, the killer doll in anime style.",0.2703,0.2065,0.2483,0.1925,0.2637,0.2089
data/generated_images/openjourney\openjourney_8_4.png,"A depiction of Chucky, the killer doll in anime style.",0.2683,0.2305,0.2517,0.2072,0.2578,0.2164
data/generated_images/openjourney\openjourney_8_5.png,"A depiction of Chucky, the killer doll in anime style.",0.2905,0.2708,0.2722,0.2512,0.283,0.2747
data/generated_images/openjourney\openjourney_8_6.png,"A depiction of Chucky, the killer doll in anime style.",0.3013,0.3083,0.2888,0.2976,0.294,0.309
data/generated_images/openjourney\openjourney_8_7.png,"A depiction of Chucky, the killer doll in anime style.",0.2698,0.2186,0.2598,0.2128,0.2656,0.2231
