image_path,prompt,score2_0_original,score2_1_original,score2_0_attacked_PGD,score2_1_attacked_PGD,score2_0_attacked_FGSM,score2_1_attacked_FGSM
data/generated_images/openjourney\openjourney_5_0.png,A cat with two horns on its head.,0.2925,0.3152,0.254,0.2491,0.2769,0.2844
data/generated_images/openjourney\openjourney_5_1.png,A cat with two horns on its head.,0.299,0.3167,0.249,0.216,0.274,0.266
data/generated_images/openjourney\openjourney_5_2.png,A cat with two horns on its head.,0.2922,0.2776,0.238,0.1816,0.2742,0.2443
data/generated_images/openjourney\openjourney_5_3.png,A cat with two horns on its head.,0.3013,0.3057,0.2764,0.2607,0.2847,0.2793
data/generated_images/openjourney\openjourney_5_4.png,A cat with two horns on its head.,0.291,0.3179,0.2527,0.2468,0.277,0.289
data/generated_images/openjourney\openjourney_5_5.png,A cat with two horns on its head.,0.2668,0.2231,0.234,0.1749,0.2517,0.2008
data/generated_images/openjourney\openjourney_5_6.png,A cat with two horns on its head.,0.2864,0.252,0.2405,0.195,0.2676,0.2325
data/generated_images/openjourney\openjourney_5_7.png,A cat with two horns on its head.,0.285,0.2637,0.257,0.2186,0.2744,0.248
