image_path,prompt,score2_0_original,score2_1_original,score2_0_attacked_PGD,score2_1_attacked_PGD,score2_0_attacked_FGSM,score2_1_attacked_FGSM
data/generated_images/sd_v1_5\sd_v1_5_3_0.png,Wicked witch casting fireball dressed in green with screaming expression.,0.2556,0.2134,0.2328,0.178,0.2449,0.1998
data/generated_images/sd_v1_5\sd_v1_5_3_1.png,Wicked witch casting fireball dressed in green with screaming expression.,0.2952,0.328,0.2505,0.2487,0.2788,0.3064
data/generated_images/sd_v1_5\sd_v1_5_3_2.png,Wicked witch casting fireball dressed in green with screaming expression.,0.3025,0.3088,0.2664,0.2598,0.2854,0.287
data/generated_images/sd_v1_5\sd_v1_5_3_3.png,Wicked witch casting fireball dressed in green with screaming expression.,0.3027,0.317,0.2593,0.2461,0.2756,0.2825
data/generated_images/sd_v1_5\sd_v1_5_3_4.png,Wicked witch casting fireball dressed in green with screaming expression.,0.2903,0.283,0.255,0.2295,0.2717,0.2607
data/generated_images/sd_v1_5\sd_v1_5_3_5.png,Wicked witch casting fireball dressed in green with screaming expression.,0.3003,0.3047,0.2646,0.2583,0.2751,0.2632
data/generated_images/sd_v1_5\sd_v1_5_3_6.png,Wicked witch casting fireball dressed in green with screaming expression.,0.2659,0.236,0.2423,0.2042,0.252,0.2192
data/generated_images/sd_v1_5\sd_v1_5_3_7.png,Wicked witch casting fireball dressed in green with screaming expression.,0.2644,0.2401,0.2421,0.211,0.2517,0.2255
