FGSM_decrease_rate_v2_0,FGSM_decrease_rate_v2_1,PGD_decrease_rate_v2_0,PGD_decrease_rate_v2_1,score2_0_original,score2_1_original,score2_0_attacked_FGSM,score2_1_attacked_FGSM,score2_0_attacked_PGD,score2_1_attacked_PGD
0.10071301247771829,0.17465504720406674,0.1791443850267379,0.3794480755265069,0.2244,0.1377,0.2018,0.11365,0.1842,0.08545
0.06308213378492801,0.1821686746987952,0.12362404741744286,0.2853012048192771,0.2362,0.2075,0.2213,0.1697,0.207,0.1483
0.057485029940119746,0.1716171617161716,0.11377245508982035,0.28300330033003296,0.2505,0.2424,0.2361,0.2008,0.222,0.1738
0.05628847845206675,0.13329121920404302,0.11257695690413362,0.2533164876816172,0.2274,0.1583,0.2146,0.1372,0.2018,0.1182
0.06917086578103529,0.18095238095238095,0.12551534585432894,0.2854421768707483,0.2183,0.147,0.2032,0.1204,0.1909,0.10504
0.009219088937093313,-0.15473484848484856,0.1502169197396963,0.5384469696969697,0.1844,0.0528,0.1827,0.06097,0.1567,0.02437
0.057623049219687965,0.15670183665494342,0.09923969587835141,0.19968737788198515,0.2499,0.2559,0.2355,0.2158,0.2251,0.2048
0.05993962915049589,0.10091250670960808,0.0961621388529538,0.17444981213097158,0.2319,0.1863,0.218,0.1675,0.2096,0.1538
0.06674958540630184,0.18094321462945148,0.10572139303482585,0.26227141482194427,0.2412,0.2078,0.2251,0.1702,0.2157,0.1533
0.07266158169409867,0.20785935884177864,0.20714572460859085,0.4462254395036194,0.2491,0.1934,0.231,0.1532,0.1975,0.1071
0.008118081180811938,0.0799331103678929,0.08376383763837647,0.2725752508361204,0.271,0.299,0.2688,0.2751,0.2483,0.2175
0.06292388847023368,0.1359610274579274,0.1296156744536549,0.30602302922940655,0.2654,0.2258,0.2487,0.1951,0.231,0.1567
0.06343141001146342,0.19855014095851786,0.1341230416507451,0.3874345549738219,0.2617,0.2483,0.2451,0.199,0.2266,0.1521
0.07416772018541931,0.18611435239206525,0.15381373788453437,0.28389731621936987,0.2373,0.1714,0.2197,0.1395,0.2008,0.12274
0.057116953762466005,0.1911764705882352,0.14415231187669988,0.4315686274509804,0.2206,0.102,0.208,0.0825,0.1888,0.05798
0.053564547206165686,0.15079726651480632,0.0917148362235068,0.22642369020501135,0.2595,0.2195,0.2456,0.1864,0.2357,0.1698
